id_venda;id_cliente;id_produto;data_venda;quantidade;;;forma_pagamento
VEN000043;CLI000299;PROD027;6/3/24;3; 699.90; 2099.70;Cartão de Crédito
VEN000044;CLI000256;PROD005;7/3/24;1; 4899.00; 4899.00;Cartão de Crédito
VEN000045;CLI000254;PROD003;8/3/24;3; 7999.00; 23997.00;PIX
VEN000046;CLI000263;PROD012;9/3/24;1; 1199.00; 1199.00;PIX
VEN000047;CLI000106;PROD024;10/3/24;1; 279.90; 279.90;PIX
VEN000048;CLI000062;PROD003;11/3/24;1; 7999.00; 7999.00;Cartão de Crédito
VEN000049;CLI000178;PROD016;12/3/24;1; 89.90; 89.90;Cartão de Crédito
VEN000050;CLI000239;PROD022;13/3/24;1; 219.90; 219.90;Cartão de Crédito
VEN000051;CLI000002;PROD006;14/3/24;1; 1799.90; 1799.90;PIX
VEN000052;CLI000169;PROD019;15/3/24;2; 199.00; 398.00;Dinheiro Em Espécie
VEN000053;CLI000297;PROD019;16/3/24;2; 199.00; 398.00;PIX
VEN000054;CLI000145;PROD011;17/3/24;1; 799.90; 799.90;PIX
VEN000055;CLI000011;PROD005;18/3/24;1; 4899.00; 4899.00;PIX
VEN000056;CLI000291;PROD009;19/3/24;3; 2299.90; 6899.70;PIX
VEN000057;CLI000178;PROD009;20/3/24;3; 2299.90; 6899.70;PIX
VEN000058;CLI000160;PROD003;21/3/24;2; 7999.00; 15998.00;Cartão de Débito
VEN000059;CLI000233;PROD013;22/3/24;2; 1099.90; 2199.80;Cartão de Débito
VEN000060;CLI000087;PROD015;23/3/24;1; 1349.90; 1349.90;PIX
VEN000061;CLI000190;PROD021;24/3/24;1; 59.90; 59.90;PIX
VEN000062;CLI000113;PROD025;25/3/24;3; 239.90; 719.70;Cartão de Crédito
VEN000063;CLI000212;PROD007;26/3/24;1; 4999.00; 4999.00;PIX
VEN000064;CLI000158;PROD027;27/3/24;2; 699.90; 1399.80;Cartão de Débito
VEN000065;CLI000055;PROD002;28/3/24;2; 4299.00; 8598.00;PIX
VEN000066;CLI000185;PROD017;29/3/24;1; 249.90; 249.90;PIX
VEN000067;CLI000084;PROD009;30/3/24;2; 2299.90; 4599.80;PIX
VEN000068;CLI000224;PROD023;31/3/24;1; 179.90; 179.90;Cartão de Débito
VEN000069;CLI000027;PROD008;1/4/24;2; 1299.00; 2598.00;Dinheiro Em Espécie
VEN000070;CLI000139;PROD023;2/4/24;2; 179.90; 359.80;PIX
VEN000071;CLI000121;PROD016;3/4/24;1; 89.90; 89.90;Cartão de Crédito
VEN000072;CLI000211;PROD024;4/4/24;1; 279.90; 279.90;PIX
VEN000073;CLI000233;PROD019;5/4/24;1; 199.00; 199.00;Cartão de Crédito
VEN000074;CLI000297;PROD022;6/4/24;3; 219.90; 659.70;Cartão de Crédito
VEN000075;CLI000158;PROD025;7/4/24;3; 239.90; 719.70;PIX
VEN000076;CLI000192;PROD022;8/4/24;1; 219.90; 219.90;Cartão de Crédito
VEN000077;CLI000151;PROD019;9/4/24;2; 199.00; 398.00;Dinheiro Em Espécie
VEN000078;CLI000113;PROD010;10/4/24;1; 6499.00; 6499.00;Cartão de Débito
VEN000079;CLI000074;PROD025;11/4/24;3; 239.90; 719.70;PIX
VEN000080;CLI000173;PROD022;12/4/24;2; 219.90; 439.80;Cartão de Crédito
VEN000081;CLI000152;PROD027;13/4/24;2; 699.90; 1399.80;PIX
VEN000082;CLI000162;PROD024;14/4/24;3; 279.90; 839.70;Cartão de Crédito
VEN000083;CLI000022;PROD029;15/4/24;1; 349.00; 349.00;Cartão de Crédito
VEN000084;CLI000089;PROD009;16/4/24;2; 2299.90; 4599.80;Cartão de Crédito
VEN000085;CLI000061;PROD021;17/4/24;2; 59.90; 119.80;Cartão de Débito
VEN000086;CLI000162;PROD013;18/4/24;2; 1099.90; 2199.80;Cartão de Crédito
VEN000087;CLI000049;PROD005;19/4/24;2; 4899.00; 9798.00;PIX
VEN000088;CLI000235;PROD011;20/4/24;3; 799.90; 2399.70;PIX
VEN000089;CLI000087;PROD015;21/4/24;1; 1349.90; 1349.90;PIX
VEN000090;CLI000091;PROD001;22/4/24;1; 3499.90; 3499.90;PIX
VEN000091;CLI000197;PROD017;23/4/24;2; 249.90; 499.80;Cartão de Crédito
VEN000092;CLI000155;PROD001;24/4/24;2; 3499.90; 6999.80;Cartão de Crédito
VEN000093;CLI000033;PROD029;25/4/24;2; 349.00; 698.00;PIX
VEN000094;CLI000291;PROD010;26/4/24;1; 6499.00; 6499.00;Cartão de Crédito
VEN000095;CLI000213;PROD021;27/4/24;2; 59.90; 119.80;Cartão de Crédito
VEN000096;CLI000218;PROD007;28/4/24;3; 4999.00; 14997.00;Cartão de Crédito
VEN000097;CLI000007;PROD018;29/4/24;1; 139.90; 139.90;Cartão de Crédito
VEN000098;CLI000127;PROD001;30/4/24;1; 3499.90; 3499.90;Cartão de Débito
VEN000099;CLI000089;PROD003;1/5/24;3; 7999.00; 23997.00;PIX
VEN000100;CLI000133;PROD008;2/5/24;1; 1299.00; 1299.00;Cartão de Crédito
VEN000101;CLI000293;PROD008;3/5/24;3; 1299.00; 3897.00;PIX
VEN000102;CLI000276;PROD022;4/5/24;3; 219.90; 659.70;Cartão de Crédito
VEN000103;CLI000085;PROD012;5/5/24;1; 1199.00; 1199.00;Dinheiro Em Espécie
VEN000104;CLI000179;PROD009;6/5/24;3; 2299.90; 6899.70;PIX
VEN000105;CLI000043;PROD023;7/5/24;2; 179.90; 359.80;Cartão de Crédito
VEN000106;CLI000065;PROD005;8/5/24;1; 4899.00; 4899.00;PIX
VEN000107;CLI000159;PROD014;9/5/24;2; 2499.00; 4998.00;Cartão de Crédito
VEN000108;CLI000245;PROD012;10/5/24;1; 1199.00; 1199.00;Cartão de Crédito
VEN000109;CLI000249;PROD023;11/5/24;3; 179.90; 539.70;Cartão de Crédito
VEN000110;CLI000046;PROD017;12/5/24;1; 249.90; 249.90;Cartão de Crédito
VEN000111;CLI000204;PROD021;13/5/24;3; 59.90; 179.70;PIX
VEN000112;CLI000235;PROD020;14/5/24;1; 399.90; 399.90;Cartão de Crédito
VEN000113;CLI000276;PROD018;15/5/24;2; 139.90; 279.80;PIX
VEN000114;CLI000091;PROD023;16/5/24;1; 179.90; 179.90;Dinheiro Em Espécie
VEN000115;CLI000051;PROD017;17/5/24;1; 249.90; 249.90;Cartão de Crédito
VEN000116;CLI000204;PROD026;18/5/24;3; 1499.00; 4497.00;PIX
VEN000117;CLI000248;PROD018;19/5/24;1; 139.90; 139.90;Cartão de Débito
VEN000118;CLI000289;PROD020;20/5/24;1; 399.90; 399.90;Cartão de Crédito
VEN000119;CLI000038;PROD012;21/5/24;2; 1199.00; 2398.00;PIX
VEN000120;CLI000085;PROD012;22/5/24;2; 1199.00; 2398.00;PIX
VEN000121;CLI000160;PROD015;23/5/24;1; 1349.90; 1349.90;PIX
VEN000122;CLI000158;PROD001;24/5/24;1; 3499.90; 3499.90;Cartão de Débito
VEN000123;CLI000109;PROD029;25/5/24;1; 349.00; 349.00;Cartão de Crédito
VEN000124;CLI000162;PROD021;26/5/24;2; 59.90; 119.80;PIX
VEN000125;CLI000299;PROD013;27/5/24;2; 1099.90; 2199.80;PIX
VEN000126;CLI000164;PROD030;28/5/24;1; 1199.00; 1199.00;PIX
VEN000127;CLI000063;PROD023;29/5/24;2; 179.90; 359.80;Cartão de Débito
VEN000128;CLI000177;PROD027;30/5/24;2; 699.90; 1399.80;PIX
VEN000129;CLI000179;PROD028;31/5/24;2; 189.90; 379.80;PIX
VEN000130;CLI000250;PROD011;1/6/24;2; 799.90; 1599.80;Cartão de Débito
VEN000131;CLI000078;PROD017;2/6/24;3; 249.90; 749.70;Cartão de Crédito
VEN000132;CLI000186;PROD011;3/6/24;1; 799.90; 799.90;Cartão de Débito
VEN000133;CLI000150;PROD004;4/6/24;1; 2899.90; 2899.90;Cartão de Crédito
VEN000134;CLI000166;PROD012;5/6/24;1; 1199.00; 1199.00;PIX
VEN000135;CLI000286;PROD027;6/6/24;2; 699.90; 1399.80;PIX
VEN000136;CLI000267;PROD020;7/6/24;1; 399.90; 399.90;PIX
VEN000137;CLI000139;PROD002;8/6/24;3; 4299.00; 12897.00;PIX
VEN000138;CLI000196;PROD006;9/6/24;1; 1799.90; 1799.90;PIX
VEN000139;CLI000114;PROD017;10/6/24;1; 249.90; 249.90;PIX
VEN000140;CLI000291;PROD023;11/6/24;1; 179.90; 179.90;PIX
VEN000141;CLI000127;PROD020;12/6/24;2; 399.90; 799.80;Cartão de Débito
VEN000142;CLI000151;PROD024;13/6/24;1; 279.90; 279.90;Cartão de Crédito
VEN000143;CLI000069;PROD001;14/6/24;1; 3499.90; 3499.90;Cartão de Crédito
VEN000144;CLI000159;PROD021;15/6/24;3; 59.90; 179.70;PIX
VEN000145;CLI000252;PROD001;16/6/24;1; 3499.90; 3499.90;PIX
VEN000146;CLI000219;PROD030;17/6/24;3; 1199.00; 3597.00;Cartão de Crédito
VEN000147;CLI000157;PROD025;18/6/24;1; 239.90; 239.90;Cartão de Débito
VEN000148;CLI000020;PROD007;19/6/24;2; 4999.00; 9998.00;Cartão de Crédito
VEN000149;CLI000054;PROD012;20/6/24;1; 1199.00; 1199.00;Cartão de Débito
VEN000150;CLI000165;PROD010;21/6/24;3; 6499.00; 19497.00;Cartão de Crédito
VEN000151;CLI000200;PROD024;22/6/24;2; 279.90; 559.80;Cartão de Débito
VEN000152;CLI000130;PROD025;23/6/24;1; 239.90; 239.90;Cartão de Débito
VEN000153;CLI000020;PROD016;24/6/24;1; 89.90; 89.90;PIX
VEN000154;CLI000060;PROD010;25/6/24;1; 6499.00; 6499.00;Cartão de Crédito
VEN000155;CLI000163;PROD017;26/6/24;3; 249.90; 749.70;Cartão de Crédito
VEN000156;CLI000209;PROD005;27/6/24;1; 4899.00; 4899.00;Cartão de Crédito
VEN000157;CLI000022;PROD029;28/6/24;1; 349.00; 349.00;Cartão de Crédito
VEN000158;CLI000103;PROD018;29/6/24;1; 139.90; 139.90;Cartão de Crédito
VEN000159;CLI000092;PROD006;30/6/24;1; 1799.90; 1799.90;PIX
VEN000160;CLI000235;PROD005;1/7/24;1; 4899.00; 4899.00;Cartão de Crédito
VEN000161;CLI000033;PROD030;2/7/24;2; 1199.00; 2398.00;PIX
VEN000162;CLI000189;PROD021;3/7/24;2; 59.90; 119.80;Dinheiro Em Espécie
VEN000163;CLI000194;PROD010;4/7/24;1; 6499.00; 6499.00;Cartão de Crédito
VEN000164;CLI000252;PROD011;5/7/24;1; 799.90; 799.90;PIX
VEN000165;CLI000069;PROD026;6/7/24;1; 1499.00; 1499.00;PIX
VEN000166;CLI000077;PROD010;7/7/24;2; 6499.00; 12998.00;Cartão de Crédito
VEN000167;CLI000065;PROD015;8/7/24;1; 1349.90; 1349.90;PIX
VEN000168;CLI000041;PROD028;9/7/24;1; 189.90; 189.90;PIX
VEN000169;CLI000150;PROD028;10/7/24;2; 189.90; 379.80;PIX
VEN000170;CLI000235;PROD005;11/7/24;1; 4899.00; 4899.00;Cartão de Crédito
VEN000171;CLI000158;PROD007;12/7/24;1; 4999.00; 4999.00;PIX
VEN000172;CLI000010;PROD002;13/7/24;1; 4299.00; 4299.00;Cartão de Crédito
VEN000173;CLI000131;PROD007;14/7/24;3; 4999.00; 14997.00;PIX
VEN000174;CLI000219;PROD001;15/7/24;2; 3499.90; 6999.80;PIX
VEN000175;CLI000161;PROD020;16/7/24;2; 399.90; 799.80;Cartão de Crédito
VEN000176;CLI000035;PROD007;17/7/24;1; 4999.00; 4999.00;PIX
VEN000177;CLI000223;PROD027;18/7/24;3; 699.90; 2099.70;PIX
VEN000178;CLI000271;PROD007;19/7/24;3; 4999.00; 14997.00;Cartão de Crédito
VEN000179;CLI000297;PROD011;20/7/24;1; 799.90; 799.90;PIX
VEN000180;CLI000270;PROD023;21/7/24;1; 179.90; 179.90;PIX
VEN000181;CLI000145;PROD014;22/7/24;2; 2499.00; 4998.00;PIX
VEN000182;CLI000089;PROD026;23/7/24;3; 1499.00; 4497.00;Cartão de Crédito
VEN000183;CLI000282;PROD009;24/7/24;1; 2299.90; 2299.90;Cartão de Crédito
VEN000184;CLI000151;PROD020;25/7/24;1; 399.90; 399.90;PIX
VEN000185;CLI000005;PROD002;26/7/24;2; 4299.00; 8598.00;PIX
VEN000186;CLI000262;PROD021;27/7/24;1; 59.90; 59.90;Dinheiro Em Espécie
VEN000187;CLI000143;PROD016;28/7/24;1; 89.90; 89.90;Cartão de Crédito
VEN000188;CLI000244;PROD015;29/7/24;3; 1349.90; 4049.70;Cartão de Crédito
VEN000189;CLI000296;PROD010;30/7/24;1; 6499.00; 6499.00;Cartão de Débito
VEN000190;CLI000024;PROD008;31/7/24;1; 1299.00; 1299.00;Cartão de Crédito
VEN000191;CLI000138;PROD029;1/8/24;2; 349.00; 698.00;PIX
VEN000192;CLI000069;PROD024;2/8/24;3; 279.90; 839.70;Cartão de Crédito
VEN000193;CLI000147;PROD029;3/8/24;2; 349.00; 698.00;Dinheiro Em Espécie
VEN000194;CLI000061;PROD022;4/8/24;3; 219.90; 659.70;Cartão de Crédito
VEN000195;CLI000079;PROD003;5/8/24;3; 7999.00; 23997.00;PIX
VEN000196;CLI000091;PROD027;6/8/24;2; 699.90; 1399.80;PIX
VEN000197;CLI000232;PROD027;7/8/24;1; 699.90; 699.90;PIX
VEN000198;CLI000019;PROD002;8/8/24;1; 4299.00; 4299.00;Cartão de Débito
VEN000199;CLI000277;PROD025;9/8/24;2; 239.90; 479.80;PIX
VEN000200;CLI000040;PROD015;10/8/24;3; 1349.90; 4049.70;PIX
VEN000201;CLI000005;PROD014;11/8/24;3; 2499.00; 7497.00;PIX
VEN000202;CLI000195;PROD017;12/8/24;3; 249.90; 749.70;Cartão de Crédito
VEN000203;CLI000089;PROD025;13/8/24;2; 239.90; 479.80;Cartão de Débito
VEN000204;CLI000261;PROD010;14/8/24;1; 6499.00; 6499.00;Cartão de Débito
VEN000205;CLI000092;PROD021;15/8/24;2; 59.90; 119.80;Cartão de Crédito
VEN000206;CLI000098;PROD003;16/8/24;1; 7999.00; 7999.00;PIX
VEN000207;CLI000102;PROD005;17/8/24;1; 4899.00; 4899.00;Cartão de Crédito
VEN000208;CLI000009;PROD005;18/8/24;2; 4899.00; 9798.00;Cartão de Crédito
VEN000209;CLI000094;PROD021;19/8/24;2; 59.90; 119.80;Cartão de Crédito
VEN000210;CLI000150;PROD005;20/8/24;3; 4899.00; 14697.00;Cartão de Crédito
VEN000211;CLI000152;PROD030;21/8/24;1; 1199.00; 1199.00;Cartão de Crédito
VEN000212;CLI000181;PROD016;22/8/24;1; 89.90; 89.90;Cartão de Crédito
VEN000213;CLI000109;PROD026;23/8/24;1; 1499.00; 1499.00;Cartão de Crédito
VEN000214;CLI000239;PROD026;24/8/24;1; 1499.00; 1499.00;Cartão de Crédito
VEN000215;CLI000042;PROD014;25/8/24;1; 2499.00; 2499.00;PIX
VEN000216;CLI000120;PROD028;26/8/24;1; 189.90; 189.90;PIX
VEN000217;CLI000027;PROD011;27/8/24;1; 799.90; 799.90;Cartão de Crédito
VEN000218;CLI000038;PROD009;28/8/24;2; 2299.90; 4599.80;PIX
VEN000219;CLI000219;PROD030;29/8/24;2; 1199.00; 2398.00;PIX
VEN000220;CLI000155;PROD022;30/8/24;2; 219.90; 439.80;Cartão de Crédito
VEN000221;CLI000099;PROD010;31/8/24;3; 6499.00; 19497.00;Cartão de Crédito
VEN000222;CLI000037;PROD012;1/9/24;1; 1199.00; 1199.00;Cartão de Débito
VEN000223;CLI000256;PROD001;2/9/24;3; 3499.90; 10499.70;Cartão de Débito
VEN000224;CLI000166;PROD001;3/9/24;2; 3499.90; 6999.80;Cartão de Débito
VEN000225;CLI000116;PROD014;4/9/24;3; 2499.00; 7497.00;Cartão de Crédito
VEN000226;CLI000046;PROD016;5/9/24;1; 89.90; 89.90;PIX
VEN000227;CLI000200;PROD011;6/9/24;1; 799.90; 799.90;Dinheiro Em Espécie
VEN000228;CLI000039;PROD019;7/9/24;1; 199.00; 199.00;PIX
VEN000229;CLI000064;PROD017;8/9/24;1; 249.90; 249.90;Cartão de Débito
VEN000230;CLI000031;PROD015;9/9/24;1; 1349.90; 1349.90;PIX
VEN000231;CLI000053;PROD029;10/9/24;1; 349.00; 349.00;Cartão de Débito
VEN000232;CLI000125;PROD005;11/9/24;1; 4899.00; 4899.00;Cartão de Crédito
VEN000233;CLI000253;PROD014;12/9/24;2; 2499.00; 4998.00;Cartão de Crédito
VEN000234;CLI000039;PROD017;13/9/24;1; 249.90; 249.90;Cartão de Crédito
VEN000235;CLI000293;PROD004;14/9/24;1; 2899.90; 2899.90;PIX
VEN000236;CLI000292;PROD013;15/9/24;1; 1099.90; 1099.90;Cartão de Crédito
VEN000237;CLI000138;PROD010;16/9/24;1; 6499.00; 6499.00;Dinheiro Em Espécie
VEN000238;CLI000218;PROD013;17/9/24;1; 1099.90; 1099.90;Cartão de Crédito
VEN000239;CLI000297;PROD030;18/9/24;1; 1199.00; 1199.00;Cartão de Crédito
VEN000240;CLI000277;PROD020;19/9/24;1; 399.90; 399.90;Cartão de Débito
VEN000241;CLI000062;PROD016;20/9/24;3; 89.90; 269.70;Dinheiro Em Espécie
VEN000242;CLI000278;PROD002;21/9/24;2; 4299.00; 8598.00;Cartão de Crédito
VEN000243;CLI000158;PROD017;22/9/24;3; 249.90; 749.70;Cartão de Débito
VEN000244;CLI000182;PROD012;23/9/24;1; 1199.00; 1199.00;PIX
VEN000245;CLI000134;PROD024;24/9/24;2; 279.90; 559.80;PIX
VEN000246;CLI000203;PROD024;25/9/24;2; 279.90; 559.80;Cartão de Crédito
VEN000247;CLI000190;PROD021;26/9/24;1; 59.90; 59.90;Dinheiro Em Espécie
VEN000248;CLI000012;PROD007;27/9/24;3; 4999.00; 14997.00;Cartão de Débito
VEN000249;CLI000178;PROD011;28/9/24;2; 799.90; 1599.80;Cartão de Débito
VEN000250;CLI000229;PROD003;29/9/24;1; 7999.00; 7999.00;Cartão de Crédito
VEN000251;CLI000071;PROD025;30/9/24;1; 239.90; 239.90;PIX
VEN000252;CLI000181;PROD018;1/10/24;2; 139.90; 279.80;PIX
VEN000253;CLI000058;PROD002;2/10/24;2; 4299.00; 8598.00;Cartão de Crédito
VEN000254;CLI000218;PROD023;3/10/24;1; 179.90; 179.90;PIX
VEN000255;CLI000035;PROD029;4/10/24;2; 349.00; 698.00;PIX
VEN000256;CLI000059;PROD005;5/10/24;2; 4899.00; 9798.00;PIX
VEN000257;CLI000168;PROD005;6/10/24;3; 4899.00; 14697.00;PIX
VEN000258;CLI000065;PROD009;7/10/24;1; 2299.90; 2299.90;Cartão de Débito
VEN000259;CLI000213;PROD004;8/10/24;1; 2899.90; 2899.90;Cartão de Crédito
VEN000260;CLI000150;PROD021;9/10/24;2; 59.90; 119.80;PIX
VEN000261;CLI000190;PROD005;10/10/24;3; 4899.00; 14697.00;Cartão de Débito
VEN000262;CLI000225;PROD015;11/10/24;2; 1349.90; 2699.80;Cartão de Crédito
VEN000263;CLI000095;PROD005;12/10/24;1; 4899.00; 4899.00;Cartão de Débito
VEN000264;CLI000081;PROD016;13/10/24;3; 89.90; 269.70;PIX
VEN000265;CLI000158;PROD030;14/10/24;2; 1199.00; 2398.00;PIX
VEN000266;CLI000178;PROD030;15/10/24;2; 1199.00; 2398.00;Cartão de Débito
VEN000267;CLI000077;PROD010;16/10/24;2; 6499.00; 12998.00;Cartão de Débito
VEN000268;CLI000182;PROD001;17/10/24;2; 3499.90; 6999.80;Dinheiro Em Espécie
VEN000269;CLI000144;PROD021;18/10/24;2; 59.90; 119.80;Cartão de Crédito
VEN000270;CLI000173;PROD013;19/10/24;2; 1099.90; 2199.80;PIX
VEN000271;CLI000294;PROD019;20/10/24;1; 199.00; 199.00;PIX
VEN000272;CLI000112;PROD002;21/10/24;1; 4299.00; 4299.00;Cartão de Crédito
VEN000273;CLI000081;PROD006;22/10/24;1; 1799.90; 1799.90;PIX
VEN000274;CLI000297;PROD020;23/10/24;1; 399.90; 399.90;PIX
VEN000275;CLI000285;PROD016;24/10/24;2; 89.90; 179.80;PIX
VEN000276;CLI000032;PROD007;25/10/24;1; 4999.00; 4999.00;Cartão de Crédito
VEN000277;CLI000251;PROD025;26/10/24;1; 239.90; 239.90;PIX
VEN000278;CLI000246;PROD010;27/10/24;2; 6499.00; 12998.00;Dinheiro Em Espécie
VEN000279;CLI000203;PROD023;28/10/24;3; 179.90; 539.70;PIX
VEN000280;CLI000149;PROD003;29/10/24;1; 7999.00; 7999.00;PIX
VEN000281;CLI000059;PROD006;30/10/24;2; 1799.90; 3599.80;Dinheiro Em Espécie
VEN000282;CLI000201;PROD026;31/10/24;3; 1499.00; 4497.00;Cartão de Crédito
VEN000283;CLI000243;PROD002;1/11/24;3; 4299.00; 12897.00;PIX
VEN000284;CLI000228;PROD027;2/11/24;2; 699.90; 1399.80;Cartão de Crédito
VEN000285;CLI000067;PROD012;3/11/24;2; 1199.00; 2398.00;Cartão de Débito
VEN000286;CLI000016;PROD008;4/11/24;2; 1299.00; 2598.00;Cartão de Crédito
VEN000287;CLI000198;PROD023;5/11/24;1; 179.90; 179.90;PIX
VEN000288;CLI000257;PROD030;6/11/24;1; 1199.00; 1199.00;PIX
VEN000289;CLI000052;PROD011;7/11/24;2; 799.90; 1599.80;PIX
VEN000290;CLI000079;PROD025;8/11/24;2; 239.90; 479.80;PIX
VEN000291;CLI000123;PROD030;9/11/24;2; 1199.00; 2398.00;PIX
VEN000292;CLI000228;PROD012;10/11/24;3; 1199.00; 3597.00;PIX
VEN000293;CLI000256;PROD001;11/11/24;1; 3499.90; 3499.90;PIX
VEN000294;CLI000275;PROD020;12/11/24;1; 399.90; 399.90;PIX
VEN000295;CLI000013;PROD027;13/11/24;1; 699.90; 699.90;PIX
VEN000296;CLI000062;PROD016;14/11/24;2; 89.90; 179.80;Cartão de Débito
VEN000297;CLI000166;PROD005;15/11/24;3; 4899.00; 14697.00;Cartão de Débito
VEN000298;CLI000091;PROD002;16/11/24;3; 4299.00; 12897.00;Cartão de Débito
VEN000299;CLI000109;PROD025;17/11/24;2; 239.90; 479.80;Cartão de Débito
VEN000300;CLI000242;PROD005;18/11/24;2; 4899.00; 9798.00;Cartão de Débito
VEN000301;CLI000287;PROD008;19/11/24;1; 1299.00; 1299.00;Cartão de Débito
VEN000302;CLI000021;PROD014;20/11/24;1; 2499.00; 2499.00;Cartão de Débito
VEN000303;CLI000027;PROD010;21/11/24;2; 6499.00; 12998.00;Cartão de Débito
VEN000304;CLI000090;PROD009;22/11/24;1; 2299.90; 2299.90;PIX
VEN000305;CLI000095;PROD024;23/11/24;1; 279.90; 279.90;PIX
VEN000306;CLI000101;PROD008;24/11/24;1; 1299.00; 1299.00;PIX
VEN000307;CLI000132;PROD007;25/11/24;3; 4999.00; 14997.00;Cartão de Crédito
VEN000308;CLI000082;PROD022;26/11/24;2; 219.90; 439.80;Cartão de Débito
VEN000309;CLI000107;PROD016;27/11/24;1; 89.90; 89.90;Cartão de Crédito
VEN000310;CLI000153;PROD015;28/11/24;1; 1349.90; 1349.90;Cartão de Débito
VEN000311;CLI000126;PROD014;29/11/24;1; 2499.00; 2499.00;PIX
VEN000312;CLI000147;PROD001;30/11/24;1; 3499.90; 3499.90;PIX
VEN000313;CLI000036;PROD016;1/12/24;1; 89.90; 89.90;PIX
VEN000314;CLI000290;PROD020;2/12/24;1; 399.90; 399.90;PIX
VEN000315;CLI000298;PROD004;3/12/24;1; 2899.90; 2899.90;PIX
VEN000316;CLI000242;PROD002;4/12/24;2; 4299.00; 8598.00;PIX
VEN000317;CLI000163;PROD022;5/12/24;3; 219.90; 659.70;PIX
VEN000318;CLI000231;PROD027;6/12/24;1; 699.90; 699.90;Cartão de Crédito
VEN000319;CLI000095;PROD017;7/12/24;1; 249.90; 249.90;Cartão de Débito
VEN000320;CLI000083;PROD003;8/12/24;1; 7999.00; 7999.00;Cartão de Crédito
